"sampno","mu","mu_short","tau","wane","sigma1","sigma2","MAX_TITRE","error","lnlike"
1,6.02197635220364,4.74688444053754,0.851699573919177,0.294575257226825,0.66012465278618,0.674189519137144,8,8.35911599569954,-6615.27166651429
07
101,0.689711909741163,2.42466176603921,0.790816045319661,0.142061912361532,0.19678617878817,0.0957100286381319,8,11.0291891207453,-7041.2038276867
201,0.100967921782285,1.5667943188455,0.862418806971982,0.211401755199768,0.224387367255986,0.15871518291533,8,7.06423925352283,-6291.14378002119
301,0.186477361246944,0.735832306090742,0.790025647543371,0.189781763008796,0.387233326025307,0.161226953612641,8,6.11729556403588,-6051.12424153222
401,0.186477361246944,1.17294544866309,0.821062274929136,0.276864619273692,0.32583648012951,0.30222051255405,8,3.94051422481425,-5340.19588389446
501,0.428072580136359,1.69889977481216,0.868019464728422,0.241017814120278,0.331517122057267,0.240331583260559,8,1.85420359368436,-4506.01178119101
101,6.36976137757301,8.86182378139347,0.0262535791378468,0.310968173551373,0.145978416851722,0.637007961375639,8,13.1618245487334,-7388.58972984111
201,5.10430522216484,8.51010971353389,0.0733680490870029,0.344222779618576,0.206621741969138,0.644825235358439,8,12.2748204268282,-7263.16089057817
301,4.25126809044741,8.22457379382104,0.218152137286961,0.321583944722079,0.301377236982808,0.760885847196914,8,9.44174393720459,-6813.69844014464
401,3.41254923888482,8.11810429370962,0.254233271046542,0.408933741552755,0.443262423714623,0.781535501172766,8,7.68561261182185,-6463.19474366912
501,2.79891481762752,7.65931654372253,0.233812883961946,0.451715253177099,0.473615132505074,0.962066757143475,8,3.99635134672281,-5386.29158267694
101,5.74100293242373,4.58154714340344,0.851249050232582,0.305465197726153,0.683343339641578,0.692313234950416,8,5.53143417229876,-5939.69551012634
201,4.31678843940608,4.20178429945372,0.939398830290884,0.316224153712392,0.679464650875889,0.698786271107383,8,2.90212794847321,-4926.56488807041
301,2.93722811853513,5.0187624047976,0.96424272749573,0.400061102746986,0.651782867661677,0.585167912929319,8,2.03912384225987,-4525.57973043251
401,1.9468708706554,5.11790294293314,0.959150549373589,0.352906182664447,0.631037924811244,0.627747775800526,8,2.03531800187193,-4504.29153614233
501,2.17340982030146,5.50467195105739,0.88081653744448,0.475538638816215,0.569338683737442,0.613264241372235,8,1.73488384985831,-4400.72112001269
