year,cluster_actual,cluster_used,cluster_used2
1968,1,1,1
1969,1,1,1
1970,NA,1,1
1971,NA,1,1
1972,2,2,1
1973,2,2,1
1974,3,3,1
1975,3,3,1
1976,NA,3,1
1977,4,4,1
1978,5,5,1
1979,5,5,1
1980,5,5,1
1981,5,5,1
1982,5,5,1
1983,5,5,1
1984,6,6,1
1985,6,6,2
1986,6,6,2
1987,7,7,2
1988,7,7,2
1989,7,7,2
1990,8,8,2
1991,7,7,2
1992,9,9,2
1993,9,9,2
1994,9,9,2
1995,10,10,2
1996,10,10,2
1997,NA,10,2
1998,11,11,2
1999,11,11,2
2000,11,11,2
2001,12,12,2
2002,12,12,2
2003,12,12,2
2004,13,13,2
2005,13,13,2
2006,NA,13,2
2007,14,14,2
2008,14,14,2
2009,15,15,2
2010,15,15,2
2011,15,15,2
2012,16,16,2
2013,16,16,2
2014,16,16,2
2015,16,16,2
