"x_coord","y_coord","inf_years"
-0.303600823045144,0.232261524877266,1968
0.617515432098799,1.43653626206419,1969
1.53863168724297,2.64081099925142,1970
2.45974794238691,3.82179156134968,1971
3.38086419753085,4.76227561407079,1972
4.30198045267502,5.43536307240989,1973
5.22309670781897,5.98280178572794,1974
6.14421296296314,6.54790129266508,1975
7.06532921810708,7.27397113186082,1976
7.98644547325125,8.2920546444888,1977
8.90756172839519,9.39238074669811,1978
9.82867798353914,10.1024958815491,1979
10.7497942386833,10.1767933128667,1980
11.6709104938273,9.77905381104497,1981
12.5920267489714,9.12036750505848,1982
13.5131430041154,8.41182452388226,1983
14.4342592592593,7.86451499649079,1984
15.3553755144035,7.68385641918193,1985
16.2764917695474,7.83506551825214,1986
17.1976080246916,7.95944347589919,1987
18.1187242798355,7.67540523038461,1988
19.0398405349795,6.65770432431134,1989
19.9609567901236,5.47240184859195,1990
20.8820730452676,5.232976549006,1991
21.8031893004118,5.74722779506384,1992
22.7243055555557,6.68202732227688,1993
23.6454218106996,7.86660196824207,1994
24.5665380658438,9.1301797494066,1995
25.4876543209878,10.3019886822167,1996
26.4087705761319,11.2112567831197,1997
27.3298868312759,11.6872120685621,1998
28.2510030864198,11.5590825549909,1999
29.172119341564,10.6561563769151,2000
30.0932355967079,8.96451984284099,2001
31.0143518518521,6.9796160667274,2002
31.935468106996,5.43475491562168,2003
32.85658436214,4.74839605251586,2004
33.7777006172842,4.75459055801284,2005
34.6988168724281,5.24241803500137,2006
35.6199331275723,6.00863049921223,2007
36.5410493827162,6.93714506680919,2008
37.4621656378602,7.96716677042604,2009
38.3832818930043,9.03906603911208,2010
39.3043981481483,10.1143056896234,2011
40.2255144032924,11.189545340135,2012
41.1466306584364,12.2647849906463,2013
42.0677469135803,13.3400246411577,2014
