"year","AR"
1968,0.484848484848485
1969,0.142857142857143
1970,0.157894736842105
1971,0.179487179487179
1972,0.125
1973,0.225
1974,0.15
1975,0.219512195121951
1976,0.0930232558139535
1977,0.272727272727273
1978,0.177777777777778
1979,0.125
1980,0.229166666666667
1981,0.224489795918367
1982,0.137254901960784
1983,0.117647058823529
1984,0.150943396226415
1985,0.148148148148148
1986,0.214285714285714
1987,0.125
1988,0.0701754385964912
1989,0.172413793103448
1990,0.0847457627118644
1991,0.152542372881356
1992,0.0666666666666667
1993,0.0983606557377049
1994,0.285714285714286
1995,0.09375
1996,0.0606060606060606
1997,0.134328358208955
1998,0.208955223880597
1999,0.117647058823529
2000,0.191176470588235
2001,0.144927536231884
2002,0.188405797101449
2003,0.115942028985507
2004,0.130434782608696
2005,0.159420289855072
2006,0.173913043478261
2007,0.260869565217391
2008,0.159420289855072
2009,0.173913043478261
2010,0.144927536231884
2011,0.0869565217391304
2012,0.115942028985507
