names,values,fixed,steps,lower_bound,upper_bound,lower_start,upper_start,identity
mu,1.8,0,0.1,0,8,1,3,1
mu_short,2.7,0,0.1,0,8,1,3,1
tau,0.05,0,0.1,0,1,0.01,0.1,1
wane,0.2,0,0.1,0,1,0.1,0.3,1
sigma1,0.1,0,0.1,0,1,0.01,0.2,1
sigma2,0.03,0,0.1,0,1,0.01,0.1,1
MAX_TITRE,8,1,0.1,8,8,8,8,1
error,1,0,0.1,0,25,0.5,2,1
alpha,100,1,0.1,0,1000,0,1000,1
beta,100,1,0.1,0,1000,0,1000,1
knot1,0.33,0,0.1,0,1,0,1,4
knot2,0.66,0,0.1,0,1,0,1,4
theta1,0.2,0,0.1,0,1,0,1,3
theta2,0.1,0,0.1,0,1,0,1,3
theta3,0.7,0,0.1,0,1,0,1,3
theta4,0.2,0,0.1,0,1,0,1,3
theta5,0.5,0,0.1,0,1,0,1,3
