number,strain,X,Y,year
1,BE89,18.5,9.9,1989
2,BE89,18.5,9.9,1990
3,BE92,20.2,1.6,1991
4,BE92,20.2,1.6,1992
5,BK79,9.6,11,1979
6,BK79,9.6,11,1980
7,BK79,9.6,11,1981
8,BK79,9.6,11,1982
9,BK79,9.6,11,1983
10,BK79,9.6,11,1984
11,BK79,9.6,11,1985
12,CA04,31.6,4.3,2005
13,EN72,2.7,4.9,1972
14,EN72,2.7,4.9,1973
15,EN72,2.7,4.9,1974
16,FU02,30.4,8.7,2002
17,FU02,30.4,8.7,2003
18,FU02,30.4,8.7,2004
19,HK68,1.8,2.4,1968
20,HK68,1.8,2.4,1969
21,HK68,1.8,2.4,1970
22,HK68,1.8,2.4,1971
23,PE09,38.1,8.8,2009
24,PE09,38.1,8.8,2010
25,PE09,38.1,8.8,2011
26,PE09,38.1,8.8,2012
27,PE09,38.1,8.8,2013
28,PE09,38.1,8.8,2014
29,PE09,38.1,8.8,2015
30,SI87,15,6.8,1986
31,SI87,15,6.8,1987
32,SI87,15,6.8,1988
33,SY97,29.1,11.9,1997
34,SY97,29.1,11.9,1998
35,SY97,29.1,11.9,1999
36,SY97,29.1,11.9,2000
37,SY97,29.1,11.9,2001
38,TX77,7.9,8.8,1977
39,TX77,7.9,8.8,1978
40,VI75,7.6,6.3,1975
41,VI75,7.6,6.3,1976
42,WI05,35,5.7,2006
43,WI05,35,5.7,2007
44,WI05,35,5.7,2008
45,WU95,20.9,6.7,1993
46,WU95,20.9,6.7,1994
47,WU95,20.9,6.7,1995
48,WU95,20.9,6.7,1996
