year,cluster_actual,cluster_used2,cluster_used,first_year
1968,1,1,1,1968
1969,1,1,1,1968
1970,NA,1,1,1968
1971,NA,1,1,1968
1972,2,2,2,1972
1973,2,2,2,1972
1974,3,3,3,1974
1975,3,3,3,1974
1976,NA,3,3,1974
1977,4,4,4,1977
1978,5,5,5,1978
1979,5,5,5,1978
1980,5,5,5,1978
1981,5,5,5,1978
1982,5,5,5,1978
1983,5,5,5,1978
1984,6,6,6,1984
1985,6,6,6,1984
1986,6,6,6,1984
1987,7,7,7,1987
1988,7,7,7,1987
1989,7,7,7,1987
1990,8,8,8,1990
1991,7,7,7,1987
1992,9,9,9,1992
1993,9,9,9,1992
1994,9,9,9,1992
1995,10,10,10,1995
1996,10,10,10,1995
1997,NA,10,10,1995
1998,11,11,11,1998
1999,11,11,11,1998
2000,11,11,11,1998
2001,12,12,12,2001
2002,12,12,12,2001
2003,12,12,12,2001
2004,13,13,13,2004
2005,13,13,13,2004
2006,NA,13,13,2004
2007,14,14,14,2007
2008,14,14,14,2007
2009,15,15,15,2009
2010,15,15,15,2009
2011,15,15,15,2009
2012,16,16,16,2009
2013,16,16,16,2013
2014,16,16,16,2013
2015,16,16,16,2013
